담당과,조례,조례시행일,조례조문,등급,법령,상위법조문,변경유형,행동지시
도시개발과,군포시 공동주택 리모델링 지원에 관한 조례,2023-01-09,제2조,확인 필요,주택법,제2조제25호,호미확인,「주택법」 제2조제25호 변경 여부 확인 — 제2조는 조례 시행 이후 개정됐으나 인용한 제25호엔 개정 표기가 없어 변경 여부 불명확(이 조례 제2조)
도시개발과,군포시 공동주택 리모델링 지원에 관한 조례,2023-01-09,제10조,확인 필요,주택법,제75조,,「주택법」 제75조 소재를 확인(삭제·이동·오기 여부) — 이 조례 제10조
도시개발과,군포시 공동주택 리모델링 지원에 관한 조례,2023-01-09,제11조,확인 필요,주택법,제75조제2항제1호,,「주택법」 제75조 소재를 확인(삭제·이동·오기 여부) — 이 조례 제11조
도시개발과,군포시 공동주택 리모델링 지원에 관한 조례,2023-01-09,제16조,확인 필요,주택법,제68조제1항,,「주택법」 제68조 소재를 확인(삭제·이동·오기 여부) — 이 조례 제16조
도시개발과,군포시 공동주택 리모델링 지원에 관한 조례,2023-01-09,제16조,확인 필요,주택법,제68조제4항,,「주택법」 제68조 소재를 확인(삭제·이동·오기 여부) — 이 조례 제16조
도시개발과,군포시 공동주택 리모델링 지원에 관한 조례,2023-01-09,제16조,확인 필요,주택법,제69조제1항,,「주택법」 제69조 소재를 확인(삭제·이동·오기 여부) — 이 조례 제16조
도시개발과,군포시 공동주택 리모델링 지원에 관한 조례,2023-01-09,제16조,확인 필요,주택법,제69조제2항,,「주택법」 제69조 소재를 확인(삭제·이동·오기 여부) — 이 조례 제16조
도시개발과,군포시 도시재생 활성화 및 지원에 관한 조례,2026-01-07,제12조,확인 필요,군포시 지방공무원 정원 규정,,지자체행정규칙,"「군포시 지방공무원 정원 규정」는 지자체 자체 행정규칙 — 국가법령정보에 없어 자동 대조 불가. 자치법규정보시스템(ELIS, www.elis.go.kr)에서 최신 원문을 직접 확인해 이 조례 제12조 인용을 정비"
도시계획과,군포시 도시계획 조례,2025-10-10,제45조,확인 필요,관광진흥법 시행령 시행규칙,,법령미해결,"「관광진흥법 시행령 시행규칙」 자동 매칭 실패 — 국가법령정보센터(법령·행정규칙)에서 현행 여부·명칭 확인. 중앙부처 행정규칙(훈령·예규·규정)이거나 제명변경·폐지일 수 있고, 지자체 자체 규칙이면 자치법규정보시스템(ELIS)에서 확인 — 이 조례 제45조 인용 정비"
도시계획과,군포시 도시계획 조례,2025-10-10,제68조,확인 필요,지방계약직공무원 규정,,법령미해결,"「지방계약직공무원 규정」 자동 매칭 실패 — 국가법령정보센터(법령·행정규칙)에서 현행 여부·명칭 확인. 중앙부처 행정규칙(훈령·예규·규정)이거나 제명변경·폐지일 수 있고, 지자체 자체 규칙이면 자치법규정보시스템(ELIS)에서 확인 — 이 조례 제68조 인용 정비"
민원봉사과,군포시 주소정보 등에 관한 조례,2024-05-15,제17조,확인 필요,도로명주소법 시행령,제75조,미확인,「도로명주소법 시행령」 제75조 소재를 확인(삭제·이동·오기 여부) — 이 조례 제17조
보건행정과,군포시 시민건강관리 기본 조례,2018-10-08,제16조,확인 필요,건강주치의 사업 의료기관,,법령미해결,"「건강주치의 사업 의료기관」 자동 매칭 실패 — 국가법령정보센터(법령·행정규칙)에서 현행 여부·명칭 확인. 중앙부처 행정규칙(훈령·예규·규정)이거나 제명변경·폐지일 수 있고, 지자체 자체 규칙이면 자치법규정보시스템(ELIS)에서 확인 — 이 조례 제16조 인용 정비"
보건행정과,군포시 정신건강복지센터 설치 및 운영 조례,2017-09-29,제18조,확인 필요,정신건강사업안내,,법령미해결,"「정신건강사업안내」 자동 매칭 실패 — 국가법령정보센터(법령·행정규칙)에서 현행 여부·명칭 확인. 중앙부처 행정규칙(훈령·예규·규정)이거나 제명변경·폐지일 수 있고, 지자체 자체 규칙이면 자치법규정보시스템(ELIS)에서 확인 — 이 조례 제18조 인용 정비"
복지정책과,군포시 자활기금 설치 및 운용 조례,2024-07-09,제5조,확인 필요,국민기초생활 보장법 시행령 시행규칙,,법령미해결,"「국민기초생활 보장법 시행령 시행규칙」 자동 매칭 실패 — 국가법령정보센터(법령·행정규칙)에서 현행 여부·명칭 확인. 중앙부처 행정규칙(훈령·예규·규정)이거나 제명변경·폐지일 수 있고, 지자체 자체 규칙이면 자치법규정보시스템(ELIS)에서 확인 — 이 조례 제5조 인용 정비"
산본보건지소,군포시 암환자 가발구입비 지원 조례,2027-01-01,제9조,확인 필요,암환자에 대한 의료비 지원사업,,법령미해결,"「암환자에 대한 의료비 지원사업」 자동 매칭 실패 — 국가법령정보센터(법령·행정규칙)에서 현행 여부·명칭 확인. 중앙부처 행정규칙(훈령·예규·규정)이거나 제명변경·폐지일 수 있고, 지자체 자체 규칙이면 자치법규정보시스템(ELIS)에서 확인 — 이 조례 제9조 인용 정비"
산본보건지소,군포시 한방난임치료 지원에 관한 조례,2022-04-25,제2조,확인 필요,한의학육성법,,법령미해결,"「한의학육성법」 자동 매칭 실패 — 국가법령정보센터(법령·행정규칙)에서 현행 여부·명칭 확인. 중앙부처 행정규칙(훈령·예규·규정)이거나 제명변경·폐지일 수 있고, 지자체 자체 규칙이면 자치법규정보시스템(ELIS)에서 확인 — 이 조례 제2조 인용 정비"
생태공원녹지과,군포시 도시공원 및 녹지 등에 관한 조례,2020-09-29,제6조,확인 필요,지적법,,법령미해결,"「지적법」 자동 매칭 실패 — 국가법령정보센터(법령·행정규칙)에서 현행 여부·명칭 확인. 중앙부처 행정규칙(훈령·예규·규정)이거나 제명변경·폐지일 수 있고, 지자체 자체 규칙이면 자치법규정보시스템(ELIS)에서 확인 — 이 조례 제6조 인용 정비"
생태공원녹지과,군포시 도시숲 등의 조성 및 관리에 관한 조례,2025-10-10,제4조의4,확인 필요,가로수 조성 및 관리규정,,법령미해결,"「가로수 조성 및 관리규정」 자동 매칭 실패 — 국가법령정보센터(법령·행정규칙)에서 현행 여부·명칭 확인. 중앙부처 행정규칙(훈령·예규·규정)이거나 제명변경·폐지일 수 있고, 지자체 자체 규칙이면 자치법규정보시스템(ELIS)에서 확인 — 이 조례 제4조의4 인용 정비"
세정과,군포시 지방세 고지서 송달에 관한 규칙,2018-10-08,제1조,확인 필요,지방세법시행령,제39조의2,,「지방세법시행령」 제39조의2 소재를 확인(삭제·이동·오기 여부) — 이 조례 제1조 (덧붙여 「지방세법시행령」처럼 꺽쇠 서식으로 정정)
수도과,군포시 수도급수 조례 시행규칙,2026-01-07,제31조,확인 필요,주택법,제47조,,「주택법」 제47조 소재를 확인(삭제·이동·오기 여부) — 이 조례 제31조
수도과,군포시 수도급수 조례 시행규칙,2026-01-07,제31조,확인 필요,주택법,제51조,,「주택법」 제51조 소재를 확인(삭제·이동·오기 여부) — 이 조례 제31조
스마트정보과,군포시 인터넷시스템 설치 및 운영 조례,2020-03-16,제20조,확인 필요,국가 정보보안 기본지침,,법령미해결,"「국가 정보보안 기본지침」 자동 매칭 실패 — 국가법령정보센터(법령·행정규칙)에서 현행 여부·명칭 확인. 중앙부처 행정규칙(훈령·예규·규정)이거나 제명변경·폐지일 수 있고, 지자체 자체 규칙이면 자치법규정보시스템(ELIS)에서 확인 — 이 조례 제20조 인용 정비"
스마트정보과,군포시 인터넷시스템 설치 및 운영 조례,2020-03-16,제20조,확인 필요,군포시 정보보안 기본지침,,지자체행정규칙,"「군포시 정보보안 기본지침」는 지자체 자체 행정규칙 — 국가법령정보에 없어 자동 대조 불가. 자치법규정보시스템(ELIS, www.elis.go.kr)에서 최신 원문을 직접 확인해 이 조례 제20조 인용을 정비"
아동청소년과,군포시 아동친화도시 조성에 관한 조례,2022-04-25,"제1조, 제2조",확인 필요,아동의 권리에 관한 협약,,법령미해결,"「아동의 권리에 관한 협약」 자동 매칭 실패 — 국가법령정보센터(법령·행정규칙)에서 현행 여부·명칭 확인. 중앙부처 행정규칙(훈령·예규·규정)이거나 제명변경·폐지일 수 있고, 지자체 자체 규칙이면 자치법규정보시스템(ELIS)에서 확인 — 이 조례 제1조, 제2조 인용 정비"
안전총괄과,군포시 자율방재단 운영 등에 관한 조례,2025-07-11,제11조,확인 필요,민방위 교육 추진지침,,법령미해결,"「민방위 교육 추진지침」 자동 매칭 실패 — 국가법령정보센터(법령·행정규칙)에서 현행 여부·명칭 확인. 중앙부처 행정규칙(훈령·예규·규정)이거나 제명변경·폐지일 수 있고, 지자체 자체 규칙이면 자치법규정보시스템(ELIS)에서 확인 — 이 조례 제11조 인용 정비"
안전총괄과,군포시 침수방지시설 설치 지원에 관한 조례,2023-07-04,제2조,확인 필요,주택법,제2조제1호,호미확인,「주택법」 제2조제1호 변경 여부 확인 — 제2조는 조례 시행 이후 개정됐으나 인용한 제1호엔 개정 표기가 없어 변경 여부 불명확(이 조례 제2조)
여성가족과,군포시 보육 조례,2021-07-01,제15조,확인 필요,주택법,제2조제3호,호미확인,「주택법」 제2조제3호 변경 여부 확인 — 제2조는 조례 시행 이후 개정됐으나 인용한 제3호엔 개정 표기가 없어 변경 여부 불명확(이 조례 제15조)
여성가족과,군포시 보육 조례,2021-07-01,제15조,확인 필요,주택법,제35조,,「주택법」 제35조 소재를 확인(삭제·이동·오기 여부) — 이 조례 제15조
위생자원과,군포시 자원의 절약과 재활용촉진에 관한 조례,2017-04-01,제6조,확인 필요,자원의 절약과 재활용촉진에 관한 법률 시행규칙 시행령,,법령미해결,"「자원의 절약과 재활용촉진에 관한 법률 시행규칙 시행령」 자동 매칭 실패 — 국가법령정보센터(법령·행정규칙)에서 현행 여부·명칭 확인. 중앙부처 행정규칙(훈령·예규·규정)이거나 제명변경·폐지일 수 있고, 지자체 자체 규칙이면 자치법규정보시스템(ELIS)에서 확인 — 이 조례 제6조 인용 정비"
위생자원과,군포시 장사시설의 설치 및 관리에 관한 조례,2024-01-08,제5조,확인 필요,화성 함백산추모공원 설치 및 관리ㆍ운영 조례 시행령,,법령미해결,"「화성 함백산추모공원 설치 및 관리ㆍ운영 조례 시행령」 자동 매칭 실패 — 국가법령정보센터(법령·행정규칙)에서 현행 여부·명칭 확인. 중앙부처 행정규칙(훈령·예규·규정)이거나 제명변경·폐지일 수 있고, 지자체 자체 규칙이면 자치법규정보시스템(ELIS)에서 확인 — 이 조례 제5조 인용 정비"
위생자원과,군포시 환경관리소 운영 및 관리 조례,2020-09-29,제6조,확인 필요,폐기물처리시설 설치촉진 및 주변지역지원 등에 관한 법률 시행령 시행규칙,,법령미해결,"「폐기물처리시설 설치촉진 및 주변지역지원 등에 관한 법률 시행령 시행규칙」 자동 매칭 실패 — 국가법령정보센터(법령·행정규칙)에서 현행 여부·명칭 확인. 중앙부처 행정규칙(훈령·예규·규정)이거나 제명변경·폐지일 수 있고, 지자체 자체 규칙이면 자치법규정보시스템(ELIS)에서 확인 — 이 조례 제6조 인용 정비"
의회사무과,군포시의회 업무추진비 사용 및 공개 등에 관한 규칙,2020-12-31,"제3조, 제5조",확인 필요,지방자치단체 세출예산 집행기준,,법령미해결,"「지방자치단체 세출예산 집행기준」 자동 매칭 실패 — 국가법령정보센터(법령·행정규칙)에서 현행 여부·명칭 확인. 중앙부처 행정규칙(훈령·예규·규정)이거나 제명변경·폐지일 수 있고, 지자체 자체 규칙이면 자치법규정보시스템(ELIS)에서 확인 — 이 조례 제3조, 제5조 인용 정비"
의회사무과,군포시의회 의원연구단체 구성 및 운영 조례,2026-07-01,제14조,확인 필요,지방의회 의정활동 정보공개 세부 지침,,법령미해결,"「지방의회 의정활동 정보공개 세부 지침」 자동 매칭 실패 — 국가법령정보센터(법령·행정규칙)에서 현행 여부·명칭 확인. 중앙부처 행정규칙(훈령·예규·규정)이거나 제명변경·폐지일 수 있고, 지자체 자체 규칙이면 자치법규정보시스템(ELIS)에서 확인 — 이 조례 제14조 인용 정비"
의회사무과,군포시의회 지방공무원 복무 조례,2025-10-10,제18조,확인 필요,한국방송통신대학교 설치령,,법령미해결,"「한국방송통신대학교 설치령」 자동 매칭 실패 — 국가법령정보센터(법령·행정규칙)에서 현행 여부·명칭 확인. 중앙부처 행정규칙(훈령·예규·규정)이거나 제명변경·폐지일 수 있고, 지자체 자체 규칙이면 자치법규정보시스템(ELIS)에서 확인 — 이 조례 제18조 인용 정비"
자치분권과,군포시 자원봉사활동 지원 조례 시행규칙,2021-09-30,제10조,확인 필요,자원봉사센터 운영규정,,법령미해결,"「자원봉사센터 운영규정」 자동 매칭 실패 — 국가법령정보센터(법령·행정규칙)에서 현행 여부·명칭 확인. 중앙부처 행정규칙(훈령·예규·규정)이거나 제명변경·폐지일 수 있고, 지자체 자체 규칙이면 자치법규정보시스템(ELIS)에서 확인 — 이 조례 제10조 인용 정비"
주택정책과,군포시 주거 정비 지원센터 설립 및 운영 조례,2023-01-09,제2조,확인 필요,주택법,제2조제25호,호미확인,「주택법」 제2조제25호 변경 여부 확인 — 제2조는 조례 시행 이후 개정됐으나 인용한 제25호엔 개정 표기가 없어 변경 여부 불명확(이 조례 제2조)
지역경제과,군포시 전통시장 및 상점가 육성을 위한 조례,2019-07-09,제4조,확인 필요,전통시장 및 상점가 시설현대화사업 운영지침,,법령미해결,"「전통시장 및 상점가 시설현대화사업 운영지침」 자동 매칭 실패 — 국가법령정보센터(법령·행정규칙)에서 현행 여부·명칭 확인. 중앙부처 행정규칙(훈령·예규·규정)이거나 제명변경·폐지일 수 있고, 지자체 자체 규칙이면 자치법규정보시스템(ELIS)에서 확인 — 이 조례 제4조 인용 정비"
행정지원과,군포시 지방공무원 복무 조례,2025-10-10,제23조,확인 필요,한국방송통신대학교 설치령,,법령미해결,"「한국방송통신대학교 설치령」 자동 매칭 실패 — 국가법령정보센터(법령·행정규칙)에서 현행 여부·명칭 확인. 중앙부처 행정규칙(훈령·예규·규정)이거나 제명변경·폐지일 수 있고, 지자체 자체 규칙이면 자치법규정보시스템(ELIS)에서 확인 — 이 조례 제23조 인용 정비"
홍보실,군포시 시정 홍보 및 시민 소통 활성화 등에 관한 조례,2025-01-07,제6조,확인 필요,군포소식,,법령미해결,"「군포소식」 자동 매칭 실패 — 국가법령정보센터(법령·행정규칙)에서 현행 여부·명칭 확인. 중앙부처 행정규칙(훈령·예규·규정)이거나 제명변경·폐지일 수 있고, 지자체 자체 규칙이면 자치법규정보시스템(ELIS)에서 확인 — 이 조례 제6조 인용 정비"
회계과,군포시 공유재산 관리 조례,2025-07-11,제40조,확인 필요,특정건축물정리에 관한 특별조치법,,법령미해결,"「특정건축물정리에 관한 특별조치법」 자동 매칭 실패 — 국가법령정보센터(법령·행정규칙)에서 현행 여부·명칭 확인. 중앙부처 행정규칙(훈령·예규·규정)이거나 제명변경·폐지일 수 있고, 지자체 자체 규칙이면 자치법규정보시스템(ELIS)에서 확인 — 이 조례 제40조 인용 정비"

※ 자동 분석 초안 — 누락 및 오류가 있을 수 있음. 정비 여부는 담당자가 조례 원문과 현행 법령을 직접 확인해 최종 판단하시기 바랍니다.
